cylinders_8,cylinders_4,cylinders_6,cylinders_3,cylinders_5,displacement,horsepower,weight,acceleration,model_70,model_71,model_72,model_73,model_74,model_75,model_76,model_77,model_78,model_79,model_80,model_81,model_82,origin_1,origin_3,origin_2,class
1,0,0,0,0,307,130,3504,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,350,165,3693,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,318,150,3436,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
1,0,0,0,0,304,150,3433,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
1,0,0,0,0,302,140,3449,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
1,0,0,0,0,429,198,4341,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,454,220,4354,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,440,215,4312,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,455,225,4425,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,390,190,3850,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,383,170,3563,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,340,160,3609,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1,0,0,0,0,400,150,3761,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1,0,0,0,0,455,225,3086,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
0,1,0,0,0,113,95,2372,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24
0,0,1,0,0,198,95,2833,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
0,0,1,0,0,199,97,2774,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,0,0,200,85,2587,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
0,1,0,0,0,97,88,2130,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
0,1,0,0,0,97,46,1835,20.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
0,1,0,0,0,110,87,2672,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,107,90,2430,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
0,1,0,0,0,104,95,2375,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
0,1,0,0,0,121,113,2234,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
0,0,1,0,0,199,90,2648,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
1,0,0,0,0,360,215,4615,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
1,0,0,0,0,307,200,4376,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
1,0,0,0,0,318,210,4382,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
1,0,0,0,0,304,193,4732,18.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
0,1,0,0,0,97,88,2130,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
0,1,0,0,0,140,90,2264,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28
0,1,0,0,0,113,95,2228,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
0,1,0,0,0,98,0,2046,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25
